"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","463.357388343495","477.99517137873","490.261982183578","474.472451849963","511.357773945013","504.154719388413","501.059586309983","476.031337742372","505.083318374923","496.883457699267","512.121162711018","474.463205239519","401.46049646891","408.60634303152","440.603586350896","414.604799647259","428.379930498513","428.986965430564","447.239544667053","456.145380246377","447.694923531308","467.586708214763","465.250064443769","470.905314115659","480.831100272895","484.048019217212","491.135817664723","496.432876778171","495.403823207326","496.761646875156","512.096589499951","517.763691986378","533.88796887692","547.051417021779","556.298864685688","572.438453672361","585.716937119331","599.227533516933","617.292344070889","633.182734570129","653.808640034718","674.16697267769","687.383307540339","707.605093999287","732.74884088468","769.13598042531","809.473632727956","856.045947208304","897.189023767984","931.986506098103","972.909687682521","1024.0219568794","1078.28754620684","1129.99354846656","1184.86328330845","1248.45330989613","1322.69481176488","1394.78137870973","1481.1833790234","1581.56750488558","1619.77588572519","1715.35477984631",
"Bulgaria","BGR","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3428.40951178546","3584.44137344303","3657.28776629272","3773.31598438984","3892.35683500023","3996.86480200572","4166.1416695377","4411.88622259231","4889.25631992299","4784.05464613583","4427.01071363047","4093.4766785038","3836.76395475034","3810.24372212006","3892.7110700207","4021.72281730795","4252.94649834109","3674.93181669676","3839.71670227527","3537.10582207864","3717.67704162788","3937.43486493199","4260.11613781855","4518.87824967162","4849.54289640561","5230.98370373178","5629.41986656582","6044.75941177202","6459.64091191502","6288.67740963612","6427.81006212601","6605.08982045823","6693.61236429071","6693.45015260161","6796.68911922266","7074.68102325059","7341.04761379451","7599.12495683519","7859.67803704994","8234.78133356177","7920.91133027298","8293.56787747098",
"Bahrain","BHR","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21450.5527812046","19537.9587081644","17507.8734242864","18131.0725471132","18534.2249159413","17139.0701051307","16779.7366105066","17885.0193262292","18469.8463061012","17925.0719705653","18160.169359025","19651.3378518219","20432.1238850311","22497.0363758203","21894.5445475634","22185.4956273415","22500.0709757949","22561.7924046242","22919.3939628375","23047.0707154391","23243.5908841725","22697.6169188068","22258.1949327006","22335.93241802","22422.689937178","22343.537394919","22069.2804186367","22111.6800768009","21833.4119773416","21057.4207733626","20982.3404804452","20774.2449354934","21187.5418849515","22078.9904795856","22676.6258722851","22634.0856475674","22552.6845694088","22445.4525574091","21818.7423371891","21317.3364577031","19545.5785609474","19446.6843185351",
"Bahamas, The","BHS","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","20106.949975197","21171.845993663","22231.2435279767","23365.2899037993","24589.9026030539","25921.497583946","27052.1940401989","28436.4899914644","29660.068480039","31218.7235492985","28566.15743804","28276.5295554728","26678.6834069595","28119.6084668322","22954.8991623874","19164.4665671335","19739.3474280425","21087.6653480087","23554.1309633453","29060.66142906","30272.5096239612","26875.5434791594","28042.8251548832","28417.4513290339","31764.6310281632","32636.2613212164","32605.4554273148","32992.6219238229","33183.6450783921","34812.8973373025","33657.0236678759","31658.9511002836","29873.1413994748","29408.2736965953","29808.2327994052","30632.6213535245","31499.072708316","33268.5449867508","31416.3742270963","34833.2934730433","35793.911677037","36178.4612529631","36548.389355087","35456.2898157369","35122.0730427136","35648.852969634","35863.3661304656","35696.9205483877","34229.0538524463","32244.2966030666","32248.1300381336","32026.6263162363","32652.2081405392","31407.9348538706","31689.2477854308","31699.3586317477","31117.8856967517","31745.6450295564","32001.1556693263","32285.5424477113","24359.0035780695","27445.1407812009",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","619.142361513938","768.917517797267","1477.87342203817","2001.17822382857","2314.4349063873","2530.51178662722","2847.59248990798","2913.22960629504","3056.53681533145","3172.38297805426","3371.23903035423","3501.56361486975","3691.05016951715","3909.9716419589","4132.19129785151","4027.69142268806","4095.96087419863","4185.3041797553","4215.61988517547","4390.64885975886","4518.46594398142","4729.69005416208","4940.75988965062","5150.27329952143","5387.26967062662","5578.2664917231","5437.51024290917","5854.66726873303",
"Belarus","BLR","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2890.52416638839","2854.52075070743","2574.82385165248","2373.89052136425","2098.62426279529","1886.47742528651","1945.83894756242","2176.69235022362","2370.18646740428","2461.82685103912","2616.91299263359","2754.66446971789","2912.12336094185","3139.12098642967","3522.48985117687","3880.01436974552","4294.22867163526","4684.98029099754","5180.71234438981","5203.85488670206","5621.93717466556","5938.22068048537","6047.87112888287","6110.90466736341","6212.91277243518","5967.05220384914","5811.19794357554","5964.89294392711","6165.90933024502","6264.86096486176","6234.82432796722","6418.23763437028",
"Belize","BLZ","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1194.30146899855","1217.91284422668","1242.1898370763","1267.66449971758","1293.54357624922","1318.29861728262","1340.41920264546","1364.36449965327","1422.49829766801","1454.97157982385","1488.54138133037","1515.10245464974","1638.96513401931","1698.07507441807","1898.8004317297","1938.10550568903","1910.50829804151","2007.19394218451","2135.2400435699","2257.9395155192","2510.86627488661","2480.31228515742","2413.62500714045","2296.20254381473","2275.46426831059","2234.71286002867","2272.07973593939","2447.23979616791","2616.38127150794","2885.06974187317","3145.22502638286","3440.09413240822","3791.66973939295","3962.31833886412","3888.8217741423","3813.97723667725","3747.21067316555","3741.43543447827","3735.18006211751","3914.64291209806","4275.2734080768","4352.86943033137","4448.16895633418","4736.34731276155","4829.54499866493","4809.05337374484","4898.09326155802","4827.75002669641","4834.79006164387","4728.56754417879","4767.52932868183","4729.99008087075","4733.54670984569","4667.17920102255","4769.91403256103","4805.19685237279","4699.2724033333","4705.09659441426","4709.85588615736","4712.84010625331","3851.69824066881","4151.21043205702",
"Bermuda","BMU","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","37935.8868025746","38751.2332290275","39527.7963005175","39029.4477442819","42301.4324101366","43253.5439321124","48593.3905379125","53985.6404754291","54082.1391378599","54904.694262487","57309.1583731722","59713.4402581616","61244.5370420643","62615.315346966","63637.715364399","66534.0405871464","72208.7316209556","76180.8012896717","76999.157806954","78360.6870414336","83239.5346082661","84633.160483289","79583.1339569096","80483.7350107827","80164.5663042104","77902.6541876943","82395.2731829964","84794.9968804905","87481.3787979104","87131.9494123899","86436.2343086978","83812.1328015956","84371.0356555145","86444.678219915","86361.9528113298","89518.2776350258","91261.1514849131","94878.4922499734","97857.323281354","100602.927482617","109001.586029756","115619.474683728","113172.120633639","116268.816861242","118193.148720988","119396.449407765","125294.959387025","128757.880688002","125610.033442692","117886.737990193","115839.79601113","112471.34754245","106119.795030798","105492.480708055","101374.469787793","102005.62564189","102407.394383438","107237.031768386","106697.737486296","107036.239271085","99728.6431022707","101617.557267573",
"Bolivia","BOL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1292.8056237328","1294.33514624942","1339.93924694223","1402.91516856209","1429.47077839018","1469.59080293362","1543.01066356653","1606.89972727615","1707.90794405743","1747.03286418993","1799.57114845382","1850.35314801002","1954.84090554088","2022.32046956228","2036.50200607175","2137.71096648649","2187.35450276664","2245.67807583451","2241.74003902642","2196.45726367558","2120.7018277401","2082.81246030889","1960.43037413677","1843.62333798416","1803.05499233423","1736.87162078314","1657.38813544257","1662.97793375171","1675.60378248055","1702.67915109451","1744.311983681","1797.78023359344","1789.23998701472","1826.86559211395","1872.70987338822","1920.31795482908","1963.64076343777","2019.85160892213","2079.69672908818","2048.02647597829","2059.18530625963","2054.33094057835","2066.24165134151","2083.42192226082","2131.30712768244","2186.18666215746","2251.27497162475","2313.8912274833","2414.9734487058","2454.80029014743","2514.43482568374","2602.71849553744","2692.60749690449","2830.67345869784","2939.47746112309","3035.97165495107","3118.91368326578","3203.00443869019","3291.15636101039","3317.37094661772","2986.02443319248","3125.52910384653",
"Brazil","BRA","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","2611.05344904213","2754.24634096382","2851.49288847603","2786.36244634607","2799.6419489352","2787.43877839417","2893.57582468551","2934.98774513646","3138.78573172604","3349.53183697454","3605.87048569222","3917.28584471536","4280.66834818188","4764.11796811139","5032.17956202264","5168.28064014686","5564.76337106389","5702.51442266968","5845.75254337152","6094.9209305223","6500.38780554116","6079.24403845641","5987.82054505781","5679.89740440112","5853.89725888604","6178.52391509739","6504.975723405","6601.58908030838","6471.95272649278","6553.23804876825","6155.64537307478","6110.71907521168","5974.59006469738","6165.31686502015","6420.40739190523","6584.73922064371","6624.10037220125","6742.71174107548","6662.85343857573","6595.61609911524","6787.66899225011","6788.57656201416","6904.6253073595","6896.13719435172","7206.26179832942","7352.28258589388","7560.70204026723","7936.82442801739","8258.61588399477","8169.26241967776","8702.25533075519","8965.62055746199","9056.58043788945","9247.5733810643","9214.97724357405","8813.98980647828","8455.31234246959","8498.29390646058","8582.33863665038","8622.06659859425","8228.7742633553","8551.20533611534",
