Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Jordan;3587.82669589595;3708.25257262257;3848.82356021958;3923.03384438029;4147.53736166274;4341.18871772653;4515.59113367412;4678.83506322845;4786.74845134374;4781.60509029776;4644.16936960814;4521.40808017274;4386.74509536314;4274.54790896321;4221.08951680769;4164.10876894014;
Japan;31430.6311303282;31476.052066579;31416.1241772435;31830.2175849262;32515.1158024317;33098.5474664872;33531.5185630775;33990.0360341685;33557.6454041531;31651.0837739853;32942.2020783725;33011.13423011;33518.444936892;34239.8862473683;34386.905855287;34960.6393843385;
Kazakhstan;4446.45253270723;5055.31386613733;5550.50563164596;6046.32801716638;6580.88504863947;7155.34366301027;7837.6291450708;8438.10464515505;8554.82357302307;8487.54482993118;8979.33228378317;9506.73405348324;9823.69389729401;10264.2980657293;10539.0446798227;10510.7718884149;
Kenya;1145.98461548779;1157.29558799128;1132.48646105483;1134.53489337694;1160.43854709792;1195.77384112196;1238.53702385771;1287.24979019622;1255.02509381742;1261.34851484322;1326.38582084424;1357.25363235829;1381.96870828926;1397.37865763256;1430.44522482152;1464.55400904329;
Cambodia;486.541332797274;515.57541489775;539.393932928122;575.329240624047;624.603921525806;696.339421796186;759.647565835329;824.849350223982;867.121460084717;854.955754670272;892.100442061769;940.111819470524;992.549834232567;1048.13249470847;1104.74996952419;1162.90499489402;
Kiribati;1554.44469374082;1505.91130305075;1536.73928594922;1540.53930650601;1487.67425776519;1530.54087608864;1496.9986520499;1492.80824061907;1428.59927484328;1409.13473598724;1366.24799611058;1366.36808568394;1414.61173524763;1452.61352963217;1416.98788885501;1535.16278257963;
St. Kitts and Nevis;14394.2466643384;14974.1468776024;14988.743182096;14216.3110550347;14601.2463436506;15841.4530385094;16174.4661316218;16123.0951614693;17773.2446647368;17023.8704494371;16888.139274561;17011.5776190073;16774.6987473377;17574.3069177843;18740.9029727438;18717.4287599059;
Kuwait;29951.5666121227;29185.6139747206;29590.9720887608;34322.2468233597;37168.5540386258;39849.5969123594;40976.6768617257;41170.670793817;39777.2869071191;34800.308826176;32035.378475051;33166.919618599;33455.238969989;32136.1331737586;30857.1604177538;29869.552753237;
Latin America & Caribbean (excluding high income);6429.44514626067;6352.37152569434;6293.25601537644;6366.32167261109;6626.88279641272;6811.11981202466;7076.48035224147;7373.92292032457;7568.02808128064;7326.01626624033;7732.16242714613;7989.79124005731;8091.56365151377;8234.94781801605;8257.58346257361;8203.00386382518;
Lao PDR;935.751330989013;973.859754942257;1015.79011311859;1061.30642648139;1111.72454284236;1172.21734644331;1252.69390329386;1325.44164437229;1405.12350490718;1485.47656215707;1586.20292955064;1687.14736914443;1795.13763052428;1910.53105129676;2025.47216005196;2140.04432280044;
